,State,County,White Pop (25 and over),White Males (25 and over),White Male (less than High School),White Male (High School),White Male (some college),White Male (Bachelor's or higher),White Female (25 and over),White Female (less than High School),White Female (High School),White Female (some college),White Female (Bachelor's or higher),Af-Am (25 and over),Af-Am Male (25 and over),Af-Am Male (less than High School),Af-Am Male (High School),Af-Am Male (some college),Af-Am Male (Bachelor's or higher),Af-Am Female (25 and over),Af-Am Female (less than High School),Af-Am Female (High School),Af-Am Female (some college),Af-Am Female (Bachelor's or higher)
809,Indiana,Martin County,6944.0,3451.0,545.0,1577.0,959.0,370.0,3493.0,530.0,1430.0,1109.0,424.0,42.0,24.0,0.0,10.0,0.0,14.0,18.0,8.0,0.0,10.0,0.0
810,Indiana,Miami County,22986.0,11958.0,1791.0,5265.0,3698.0,1204.0,11028.0,1498.0,4558.0,3419.0,1553.0,999.0,825.0,198.0,367.0,210.0,50.0,174.0,41.0,29.0,63.0,41.0
811,Indiana,Monroe County,72255.0,35287.0,2768.0,8029.0,8732.0,15758.0,36968.0,2703.0,9082.0,9291.0,15892.0,2154.0,1208.0,126.0,199.0,353.0,530.0,946.0,91.0,171.0,347.0,337.0
812,Indiana,Montgomery County,24871.0,12146.0,1435.0,5387.0,3310.0,2014.0,12725.0,1377.0,5573.0,3665.0,2110.0,214.0,127.0,9.0,32.0,73.0,13.0,87.0,0.0,44.0,43.0,0.0
813,Indiana,Morgan County,46516.0,22699.0,2505.0,9583.0,7020.0,3591.0,23817.0,2849.0,10145.0,7226.0,3597.0,156.0,110.0,20.0,51.0,39.0,0.0,46.0,0.0,2.0,11.0,33.0
814,Indiana,Newton County,9615.0,4825.0,643.0,2415.0,1303.0,464.0,4790.0,696.0,2103.0,1494.0,497.0,37.0,10.0,0.0,10.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0
815,Indiana,Noble County,30522.0,15055.0,2376.0,6598.0,4066.0,2015.0,15467.0,2182.0,5991.0,4919.0,2375.0,121.0,100.0,30.0,29.0,38.0,3.0,21.0,1.0,11.0,9.0,0.0
816,Indiana,Ohio County,4301.0,2134.0,232.0,974.0,603.0,325.0,2167.0,264.0,1045.0,584.0,274.0,52.0,45.0,4.0,13.0,28.0,0.0,7.0,0.0,0.0,7.0,0.0
817,Indiana,Orange County,12995.0,6287.0,980.0,3128.0,1501.0,678.0,6708.0,1187.0,2757.0,1870.0,894.0,149.0,98.0,28.0,40.0,30.0,0.0,51.0,7.0,27.0,14.0,3.0
818,Indiana,Owen County,14554.0,7277.0,1220.0,3272.0,1980.0,805.0,7277.0,1071.0,3069.0,2234.0,903.0,118.0,62.0,0.0,13.0,26.0,23.0,56.0,0.0,0.0,56.0,0.0
819,Indiana,Parke County,11524.0,5406.0,848.0,2462.0,1381.0,715.0,6118.0,822.0,2450.0,2179.0,667.0,269.0,10.0,0.0,10.0,0.0,0.0,259.0,75.0,70.0,93.0,21.0
820,Indiana,Perry County,13051.0,6806.0,919.0,3785.0,1275.0,827.0,6245.0,784.0,2821.0,1688.0,952.0,376.0,324.0,60.0,206.0,21.0,37.0,52.0,0.0,44.0,0.0,8.0
821,Indiana,Pike County,8694.0,4364.0,717.0,1978.0,1209.0,460.0,4330.0,466.0,2035.0,1198.0,631.0,31.0,20.0,0.0,20.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0
822,Indiana,Porter County,105570.0,51087.0,3941.0,18594.0,15669.0,12883.0,54483.0,4541.0,18742.0,16705.0,14495.0,3382.0,1638.0,49.0,755.0,551.0,283.0,1744.0,129.0,560.0,760.0,295.0
823,Indiana,Posey County,17363.0,8543.0,450.0,3467.0,3007.0,1619.0,8820.0,515.0,3328.0,2976.0,2001.0,211.0,131.0,24.0,25.0,82.0,0.0,80.0,0.0,0.0,80.0,0.0
824,Indiana,Pulaski County,8689.0,4336.0,619.0,2144.0,1156.0,417.0,4353.0,473.0,1897.0,1462.0,521.0,35.0,24.0,0.0,4.0,20.0,0.0,11.0,0.0,11.0,0.0,0.0
825,Indiana,Putnam County,23500.0,12082.0,1327.0,5084.0,3922.0,1749.0,11418.0,1072.0,4808.0,3687.0,1851.0,957.0,931.0,403.0,270.0,214.0,44.0,26.0,0.0,4.0,22.0,0.0
826,Indiana,Randolph County,16970.0,8178.0,1242.0,3780.0,2342.0,814.0,8792.0,1055.0,3609.0,2723.0,1405.0,123.0,61.0,0.0,51.0,10.0,0.0,62.0,9.0,18.0,17.0,18.0
827,Indiana,Ripley County,18802.0,9081.0,1448.0,4019.0,2178.0,1436.0,9721.0,1037.0,4139.0,2696.0,1849.0,105.0,73.0,10.0,36.0,27.0,0.0,32.0,0.0,12.0,20.0,0.0
828,Indiana,Rush County,11304.0,5495.0,862.0,2780.0,1168.0,685.0,5809.0,841.0,2701.0,1402.0,865.0,139.0,60.0,39.0,4.0,17.0,0.0,79.0,0.0,26.0,31.0,22.0
829,Indiana,St. Joseph County,144468.0,69339.0,7706.0,21654.0,18959.0,21020.0,75129.0,7480.0,23592.0,22046.0,22011.0,19261.0,8565.0,1470.0,2888.0,2904.0,1303.0,10696.0,2170.0,3491.0,3510.0,1525.0
830,Indiana,Scott County,16016.0,7746.0,1232.0,3553.0,2056.0,905.0,8270.0,1192.0,3285.0,2590.0,1203.0,31.0,28.0,5.0,23.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
831,Indiana,Shelby County,29183.0,14128.0,1571.0,6493.0,4048.0,2016.0,15055.0,1775.0,6202.0,4323.0,2755.0,378.0,236.0,96.0,78.0,62.0,0.0,142.0,43.0,47.0,35.0,17.0
832,Indiana,Spencer County,14089.0,7004.0,675.0,3364.0,1833.0,1132.0,7085.0,726.0,2896.0,2412.0,1051.0,95.0,64.0,0.0,23.0,41.0,0.0,31.0,0.0,28.0,3.0,0.0
833,Indiana,Starke County,15417.0,7565.0,1339.0,3296.0,2045.0,885.0,7852.0,1261.0,3141.0,2543.0,907.0,29.0,20.0,0.0,0.0,20.0,0.0,9.0,1.0,8.0,0.0,0.0
834,Indiana,Steuben County,22843.0,11306.0,1242.0,4327.0,3458.0,2279.0,11537.0,1383.0,4375.0,3490.0,2289.0,27.0,15.0,9.0,6.0,0.0,0.0,12.0,0.0,1.0,4.0,7.0
835,Indiana,Sullivan County,13952.0,7211.0,1044.0,3174.0,2085.0,908.0,6741.0,687.0,2833.0,2332.0,889.0,707.0,707.0,262.0,253.0,185.0,7.0,0.0,0.0,0.0,0.0,0.0
836,Indiana,Switzerland County,6914.0,3486.0,724.0,1725.0,773.0,264.0,3428.0,461.0,1633.0,1033.0,301.0,55.0,51.0,31.0,16.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0
837,Indiana,Tippecanoe County,88328.0,43010.0,3768.0,12280.0,12720.0,14242.0,45318.0,3822.0,12285.0,13711.0,15500.0,3867.0,1934.0,74.0,745.0,744.0,371.0,1933.0,255.0,493.0,804.0,381.0
838,Indiana,Tipton County,10623.0,5132.0,544.0,2031.0,1503.0,1054.0,5491.0,572.0,2220.0,1505.0,1194.0,25.0,7.0,2.0,2.0,3.0,0.0,18.0,0.0,0.0,0.0,18.0
839,Indiana,Union County,4851.0,2321.0,314.0,1076.0,537.0,394.0,2530.0,249.0,1069.0,683.0,529.0,8.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0
840,Indiana,Vanderburgh County,109093.0,51997.0,5060.0,18050.0,15603.0,13284.0,57096.0,5267.0,18770.0,18093.0,14966.0,9917.0,4722.0,825.0,1734.0,1725.0,438.0,5195.0,725.0,1932.0,1674.0,864.0
841,Indiana,Vermillion County,10846.0,5178.0,544.0,2412.0,1635.0,587.0,5668.0,640.0,2542.0,1691.0,795.0,54.0,46.0,3.0,0.0,19.0,24.0,8.0,0.0,0.0,3.0,5.0
842,Indiana,Vigo County,61887.0,30107.0,3323.0,10582.0,9350.0,6852.0,31780.0,3817.0,10343.0,10182.0,7438.0,4087.0,2730.0,676.0,833.0,950.0,271.0,1357.0,201.0,242.0,513.0,401.0
843,Indiana,Wabash County,21269.0,10135.0,1103.0,4478.0,2660.0,1894.0,11134.0,1358.0,4547.0,3157.0,2072.0,106.0,67.0,0.0,27.0,40.0,0.0,39.0,28.0,11.0,0.0,0.0
844,Indiana,Warren County,5772.0,2850.0,261.0,1254.0,765.0,570.0,2922.0,238.0,1294.0,832.0,558.0,57.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,57.0,0.0
845,Indiana,Warrick County,39826.0,19159.0,1477.0,6311.0,5950.0,5421.0,20667.0,1373.0,6970.0,6734.0,5590.0,640.0,414.0,20.0,181.0,103.0,110.0,226.0,18.0,67.0,141.0,0.0
846,Indiana,Washington County,18705.0,9170.0,1489.0,4443.0,2079.0,1159.0,9535.0,1220.0,4085.0,2993.0,1237.0,9.0,9.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
847,Indiana,Wayne County,42587.0,19991.0,2995.0,7898.0,5809.0,3289.0,22596.0,3285.0,8967.0,6358.0,3986.0,2129.0,1108.0,200.0,496.0,274.0,138.0,1021.0,68.0,399.0,376.0,178.0
848,Indiana,Wells County,18374.0,8879.0,799.0,3767.0,2804.0,1509.0,9495.0,782.0,3639.0,3361.0,1713.0,65.0,38.0,5.0,13.0,20.0,0.0,27.0,0.0,8.0,19.0,0.0
849,Indiana,White County,15939.0,7741.0,788.0,3445.0,2352.0,1156.0,8198.0,621.0,3532.0,2625.0,1420.0,38.0,38.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
850,Indiana,Whitley County,22302.0,10975.0,1152.0,4687.0,3170.0,1966.0,11327.0,993.0,4539.0,3628.0,2167.0,70.0,38.0,15.0,12.0,11.0,0.0,32.0,14.0,11.0,7.0,0.0
