,State,State Abbr,County,DEM Votes,GOP Votes,Total Votes,DEM %,GOP %,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Age,Median Age (Male),Median Age (Female),Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate),Total Educ Pop,Education (H.S. or Less),Education (H.S. or Less) %,Education (Some College or More),Education (Some College or More) %,Median Income,Income Per Capita,Median Home Value,Pop in Labor Force,Pop Not in Labor Force,Unemployed
37,Indiana,IN,Jay County,1889,5697,7962,23.73,71.55,21196,20769,78,78,629,39,37,41,154,5796,855,1099,965,452,38,62,9421,6805,72.23,2616,27.77,42322,20234,81100,10239,6116,774
38,Indiana,IN,Jefferson County,4325,8538,13461,32.13,63.43,32482,30751,627,262,800,41,40,41,175,7206,1497,1812,2201,1237,143,164,14435,8878,61.5,5557,38.5,47065,23006,112700,15471,10990,1139
39,Indiana,IN,Jennings County,2364,8222,11115,21.27,73.97,28023,27229,372,63,633,40,39,41,213,7533,1316,1462,1247,510,18,31,12330,9062,73.5,3268,26.5,47236,22374,97600,13886,8302,929
40,Indiana,IN,Johnson County,17318,45456,66229,26.15,68.63,147567,136509,3128,3662,4920,37,36,38,627,27036,4877,8847,19304,7434,1170,854,70149,32540,46.39,37609,53.61,63023,29877,146600,77361,36704,4188
41,Indiana,IN,Knox County,3772,11077,15483,24.36,71.54,37956,35803,1141,280,660,38,35,42,90,7736,1330,4307,2486,1095,117,76,17237,9156,53.12,8081,46.88,44624,22976,85100,19556,11397,1031
42,Indiana,IN,Kosciusko County,6311,23909,31907,19.78,74.93,78461,73563,729,807,6062,38,37,39,590,16474,2636,3667,7043,3205,404,315,34334,19700,57.38,14634,42.62,54482,26854,136700,39999,21471,2111
43,Indiana,IN,LaGrange County,2080,7025,9552,21.78,73.54,38395,37605,86,35,1496,31,30,33,280,6077,947,1552,1649,726,46,37,11314,7304,64.56,4010,35.44,53947,21774,170600,16801,9990,684
44,Indiana,IN,Lake County,116896,75565,200247,58.38,37.74,489698,302867,120716,6702,88341,38,37,40,3779,100821,13958,26956,45298,17643,3398,1637,213490,118558,55.53,94932,44.47,50905,25483,137800,237739,145983,22770
45,Indiana,IN,LaPorte County,19795,22678,44994,43.99,50.4,110993,92765,12162,627,6747,40,38,42,589,24215,5762,6798,8840,3474,797,441,50916,30566,60.03,20350,39.97,48165,24340,123700,51851,37630,4558
46,Indiana,IN,Lawrence County,4210,14034,19076,22.07,73.57,45696,44167,160,232,693,42,42,44,281,11460,2121,3652,2972,1291,184,137,22098,13862,62.73,8236,37.27,46044,23743,103400,21863,14789,1230
47,Indiana,IN,Madison County,18595,32376,53660,34.65,60.34,129862,114056,10189,547,4814,40,39,42,754,29336,5837,7868,10451,3966,684,501,59397,35927,60.49,23470,39.51,44795,22997,90800,60371,44006,4723
48,Indiana,IN,Marion County,212676,130228,361070,58.9,36.07,932142,582047,254863,25239,91656,34,33,35,7461,142135,28872,44536,115366,42539,12050,6510,399469,178468,44.68,221001,55.32,43369,25208,120500,489303,233637,44075
49,Indiana,IN,Marshall County,4798,12286,18008,26.64,68.23,46833,43839,283,192,4362,40,38,42,200,10765,1772,2708,3677,1549,396,103,21170,12737,60.17,8433,39.83,49725,23372,124600,22855,13362,1749
50,Indiana,IN,Martin County,881,3695,4807,18.33,76.87,10218,9944,42,40,22,43,42,44,56,2602,450,901,459,286,31,35,4820,3108,64.48,1712,35.52,47457,23913,95400,5117,3046,272
51,Indiana,IN,Miami County,2766,9975,13440,20.58,74.22,36093,33011,1803,157,1004,40,38,41,302,8684,1870,1931,1856,900,122,76,15741,10856,68.97,4885,31.03,45646,21940,85600,16306,12861,1449
52,Indiana,IN,Monroe County,34183,20527,57623,59.32,35.62,143292,124252,4430,8966,4672,29,28,30,418,15216,3064,5415,18497,12266,1899,3772,60547,18698,30.88,41849,69.12,43389,25488,161300,76130,46768,5034
53,Indiana,IN,Montgomery County,3362,11051,15101,22.26,73.18,38108,36620,340,240,1751,40,38,42,219,9712,1411,1918,2895,989,250,148,17542,11342,64.66,6200,35.34,50253,24095,111600,19236,10984,1046
54,Indiana,IN,Morgan County,6037,23671,31180,19.36,75.92,69504,67658,260,469,979,41,40,42,404,16995,2958,4789,4957,1941,347,114,32505,20357,62.63,12148,37.37,57521,26556,144400,35590,19586,2262
55,Indiana,IN,Newton County,1403,4074,5791,24.23,70.35,14022,13548,47,70,828,43,42,44,107,3855,717,768,717,247,45,28,6484,4679,72.16,1805,27.84,50058,24061,112500,6790,4536,490
56,Indiana,IN,Noble County,3904,12198,16890,23.11,72.22,47587,46028,170,312,4754,38,38,40,230,10791,2095,2918,3078,1068,196,96,20472,13116,64.07,7356,35.93,49657,23792,111200,23859,12962,1659
57,Indiana,IN,Ohio County,686,2118,2917,23.52,72.61,6003,5811,139,0,37,46,46,47,36,1713,338,435,382,161,45,19,3129,2087,66.7,1042,33.3,54653,25278,146400,3096,1794,183
58,Indiana,IN,Orange County,2048,5800,8189,25.01,70.83,19579,18917,250,100,261,41,40,42,168,5038,978,886,946,523,92,29,8660,6184,71.41,2476,28.59,41438,21295,88400,8952,6566,491
59,Indiana,IN,Owen County,1946,6151,8520,22.84,72.19,21038,20518,135,104,246,44,44,45,168,5118,1330,1022,975,660,123,35,9431,6616,70.15,2815,29.85,45388,22675,108500,10097,6978,688
60,Indiana,IN,Parke County,1441,4863,6576,21.91,73.95,17033,16371,325,14,244,42,42,41,174,4238,854,1176,981,382,36,18,7859,5266,67.01,2593,32.99,42664,22247,88300,7291,6483,511
61,Indiana,IN,Perry County,3062,4556,8025,38.16,56.77,19301,18287,596,57,237,41,39,44,171,5390,1559,1002,940,739,100,46,9947,7120,71.58,2827,28.42,47396,21634,100000,8633,7016,356
