,State,County,White Pop (25 and over),White Males (25 and over),White Male (Bachelor's or higher),White Male (Bachelor's or higher) %,White Female (25 and over),White Female (Bachelor's or higher),White Female (Bachelor's or higher) %,Af-Am (25 and over),Af-Am Male (25 and over),Af-Am Male (25 and over) %,Af-Am Male (Bachelor's or higher),Af-Am Female (25 and over),Af-Am Female (Bachelor's or higher),Af-Am Female (Bachelor's or higher) %
824,Indiana,Pulaski County,8689,4336,417,9.62%,4353,521,11.97%,35,24,68.57%,0,11,0,0.00%
825,Indiana,Putnam County,23500,12082,1749,14.48%,11418,1851,16.21%,957,931,97.28%,44,26,0,0.00%
826,Indiana,Randolph County,16970,8178,814,9.95%,8792,1405,15.98%,123,61,49.59%,0,62,18,29.03%
827,Indiana,Ripley County,18802,9081,1436,15.81%,9721,1849,19.02%,105,73,69.52%,0,32,0,0.00%
828,Indiana,Rush County,11304,5495,685,12.47%,5809,865,14.89%,139,60,43.17%,0,79,22,27.85%
829,Indiana,St. Joseph County,144468,69339,21020,30.31%,75129,22011,29.30%,19261,8565,44.47%,1303,10696,1525,14.26%
830,Indiana,Scott County,16016,7746,905,11.68%,8270,1203,14.55%,31,28,90.32%,0,3,0,0.00%
831,Indiana,Shelby County,29183,14128,2016,14.27%,15055,2755,18.30%,378,236,62.43%,0,142,17,11.97%
832,Indiana,Spencer County,14089,7004,1132,16.16%,7085,1051,14.83%,95,64,67.37%,0,31,0,0.00%
833,Indiana,Starke County,15417,7565,885,11.70%,7852,907,11.55%,29,20,68.97%,0,9,0,0.00%
834,Indiana,Steuben County,22843,11306,2279,20.16%,11537,2289,19.84%,27,15,55.56%,0,12,7,58.33%
835,Indiana,Sullivan County,13952,7211,908,12.59%,6741,889,13.19%,707,707,100.00%,7,0,0,#DIV/0!
836,Indiana,Switzerland County,6914,3486,264,7.57%,3428,301,8.78%,55,51,92.73%,0,4,4,100.00%
837,Indiana,Tippecanoe County,88328,43010,14242,33.11%,45318,15500,34.20%,3867,1934,50.01%,371,1933,381,19.71%
838,Indiana,Tipton County,10623,5132,1054,20.54%,5491,1194,21.74%,25,7,28.00%,0,18,18,100.00%
839,Indiana,Union County,4851,2321,394,16.98%,2530,529,20.91%,8,2,25.00%,0,6,0,0.00%
840,Indiana,Vanderburgh County,109093,51997,13284,25.55%,57096,14966,26.21%,9917,4722,47.62%,438,5195,864,16.63%
841,Indiana,Vermillion County,10846,5178,587,11.34%,5668,795,14.03%,54,46,85.19%,24,8,5,62.50%
842,Indiana,Vigo County,61887,30107,6852,22.76%,31780,7438,23.40%,4087,2730,66.80%,271,1357,401,29.55%
843,Indiana,Wabash County,21269,10135,1894,18.69%,11134,2072,18.61%,106,67,63.21%,0,39,0,0.00%
844,Indiana,Warren County,5772,2850,570,20.00%,2922,558,19.10%,57,0,0.00%,0,57,0,0.00%
845,Indiana,Warrick County,39826,19159,5421,28.29%,20667,5590,27.05%,640,414,64.69%,110,226,0,0.00%
846,Indiana,Washington County,18705,9170,1159,12.64%,9535,1237,12.97%,9,9,100.00%,0,0,0,#DIV/0!
847,Indiana,Wayne County,42587,19991,3289,16.45%,22596,3986,17.64%,2129,1108,52.04%,138,1021,178,17.43%
848,Indiana,Wells County,18374,8879,1509,17.00%,9495,1713,18.04%,65,38,58.46%,0,27,0,0.00%
849,Indiana,White County,15939,7741,1156,14.93%,8198,1420,17.32%,38,38,100.00%,0,0,0,#DIV/0!
850,Indiana,Whitley County,22302,10975,1966,17.91%,11327,2167,19.13%,70,38,54.29%,0,32,0,0.00%
