,State,State Abbr,County,DEM Votes,GOP Votes,Total Votes,DEM %,GOP %,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Age,Median Age (Male),Median Age (Female),Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate),Median Income,Income Per Capita,Median Home Value,Pop in Labor Force,Pop Not in Labor Force,Unemployed
39,Indiana,IN,Jennings County,2364,8222,11115,0.21268556,0.739721098,28023.0,27229.0,372.0,63.0,633.0,39.6,38.7,41.3,213.0,7533.0,1316.0,1462.0,1247.0,510.0,18.0,31.0,47236.0,22374.0,97600.0,13886.0,8302.0,929.0
40,Indiana,IN,Johnson County,17318,45456,66229,0.26148666,0.686345861,147567.0,136509.0,3128.0,3662.0,4920.0,37.4,36.3,38.4,627.0,27036.0,4877.0,8847.0,19304.0,7434.0,1170.0,854.0,63023.0,29877.0,146600.0,77361.0,36704.0,4188.0
41,Indiana,IN,Knox County,3772,11077,15483,0.24362203699999999,0.7154298259999999,37956.0,35803.0,1141.0,280.0,660.0,38.1,35.0,41.7,90.0,7736.0,1330.0,4307.0,2486.0,1095.0,117.0,76.0,44624.0,22976.0,85100.0,19556.0,11397.0,1031.0
42,Indiana,IN,Kosciusko County,6311,23909,31907,0.19779358800000002,0.749334002,78461.0,73563.0,729.0,807.0,6062.0,37.8,36.6,39.2,590.0,16474.0,2636.0,3667.0,7043.0,3205.0,404.0,315.0,54482.0,26854.0,136700.0,39999.0,21471.0,2111.0
43,Indiana,IN,LaGrange County,2080,7025,9552,0.217755444,0.735448074,38395.0,37605.0,86.0,35.0,1496.0,31.1,29.5,32.7,280.0,6077.0,947.0,1552.0,1649.0,726.0,46.0,37.0,53947.0,21774.0,170600.0,16801.0,9990.0,684.0
44,Indiana,IN,Lake County,116896,75565,200247,0.5837590579999999,0.377358962,489698.0,302867.0,120716.0,6702.0,88341.0,38.2,36.8,39.7,3779.0,100821.0,13958.0,26956.0,45298.0,17643.0,3398.0,1637.0,50905.0,25483.0,137800.0,237739.0,145983.0,22770.0
45,Indiana,IN,LaPorte County,19795,22678,44994,0.439947549,0.5040227589999999,110993.0,92765.0,12162.0,627.0,6747.0,40.0,38.1,42.4,589.0,24215.0,5762.0,6798.0,8840.0,3474.0,797.0,441.0,48165.0,24340.0,123700.0,51851.0,37630.0,4558.0
46,Indiana,IN,Lawrence County,4210,14034,19076,0.220696163,0.735688824,45696.0,44167.0,160.0,232.0,693.0,42.4,41.6,43.5,281.0,11460.0,2121.0,3652.0,2972.0,1291.0,184.0,137.0,46044.0,23743.0,103400.0,21863.0,14789.0,1230.0
47,Indiana,IN,Madison County,18595,32376,53660,0.346533731,0.603354454,129862.0,114056.0,10189.0,547.0,4814.0,40.0,38.6,41.5,754.0,29336.0,5837.0,7868.0,10451.0,3966.0,684.0,501.0,44795.0,22997.0,90800.0,60371.0,44006.0,4723.0
48,Indiana,IN,Marion County,212676,130228,361070,0.58901598,0.36067244600000004,932142.0,582047.0,254863.0,25239.0,91656.0,34.1,33.1,35.1,7461.0,142135.0,28872.0,44536.0,115366.0,42539.0,12050.0,6510.0,43369.0,25208.0,120500.0,489303.0,233637.0,44075.0
