,State,County,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Home Value,Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate)
813,Indiana,Morgan County,69504.0,67658.0,260.0,469.0,979.0,144400.0,404.0,16995.0,2958.0,4789.0,4957.0,1941.0,347.0,114.0
814,Indiana,Newton County,14022.0,13548.0,47.0,70.0,828.0,112500.0,107.0,3855.0,717.0,768.0,717.0,247.0,45.0,28.0
815,Indiana,Noble County,47587.0,46028.0,170.0,312.0,4754.0,111200.0,230.0,10791.0,2095.0,2918.0,3078.0,1068.0,196.0,96.0
816,Indiana,Ohio County,6003.0,5811.0,139.0,0.0,37.0,146400.0,36.0,1713.0,338.0,435.0,382.0,161.0,45.0,19.0
817,Indiana,Orange County,19579.0,18917.0,250.0,100.0,261.0,88400.0,168.0,5038.0,978.0,886.0,946.0,523.0,92.0,29.0
818,Indiana,Owen County,21038.0,20518.0,135.0,104.0,246.0,108500.0,168.0,5118.0,1330.0,1022.0,975.0,660.0,123.0,35.0
819,Indiana,Parke County,17033.0,16371.0,325.0,14.0,244.0,88300.0,174.0,4238.0,854.0,1176.0,981.0,382.0,36.0,18.0
820,Indiana,Perry County,19301.0,18287.0,596.0,57.0,237.0,100000.0,171.0,5390.0,1559.0,1002.0,940.0,739.0,100.0,46.0
821,Indiana,Pike County,12554.0,12222.0,100.0,125.0,56.0,89500.0,86.0,3500.0,544.0,807.0,737.0,356.0,14.0,4.0
822,Indiana,Porter County,167016.0,153059.0,5908.0,2351.0,15662.0,168300.0,662.0,35238.0,4262.0,10810.0,18661.0,7724.0,1760.0,1394.0
823,Indiana,Posey County,25527.0,24789.0,344.0,122.0,273.0,136900.0,87.0,6265.0,600.0,1927.0,2438.0,902.0,200.0,96.0
824,Indiana,Pulaski County,12910.0,12417.0,45.0,52.0,360.0,92000.0,133.0,3584.0,529.0,544.0,650.0,240.0,51.0,12.0
825,Indiana,Putnam County,37626.0,35313.0,1341.0,336.0,985.0,121700.0,242.0,8347.0,1988.0,2331.0,2129.0,971.0,223.0,415.0
826,Indiana,Randolph County,25403.0,24524.0,236.0,49.0,819.0,79000.0,128.0,6628.0,980.0,1466.0,1320.0,825.0,64.0,69.0
827,Indiana,Ripley County,28633.0,27716.0,113.0,285.0,500.0,138300.0,129.0,7465.0,934.0,1633.0,2300.0,903.0,118.0,69.0
828,Indiana,Rush County,16873.0,16367.0,208.0,29.0,241.0,100300.0,48.0,4814.0,744.0,627.0,1050.0,455.0,93.0,30.0
829,Indiana,St. Joseph County,267696.0,211802.0,34636.0,5628.0,21797.0,116800.0,1449.0,44846.0,8752.0,13294.0,29937.0,13005.0,2851.0,3186.0
830,Indiana,Scott County,23734.0,23127.0,59.0,94.0,439.0,98400.0,110.0,5919.0,1038.0,1495.0,1346.0,596.0,106.0,71.0
831,Indiana,Shelby County,44404.0,41852.0,573.0,291.0,1747.0,124800.0,168.0,11038.0,2106.0,2467.0,3210.0,1470.0,255.0,150.0
832,Indiana,Spencer County,20777.0,20061.0,132.0,32.0,575.0,118300.0,144.0,5656.0,711.0,1504.0,1435.0,619.0,91.0,73.0
833,Indiana,Starke County,23069.0,22277.0,96.0,70.0,797.0,99100.0,96.0,5342.0,1226.0,1512.0,1282.0,430.0,74.0,54.0
834,Indiana,Steuben County,34279.0,33336.0,85.0,163.0,1151.0,130000.0,128.0,7744.0,1108.0,2046.0,3027.0,1234.0,206.0,179.0
835,Indiana,Sullivan County,21026.0,19637.0,952.0,67.0,350.0,77900.0,118.0,5346.0,1028.0,1812.0,1383.0,423.0,76.0,8.0
836,Indiana,Switzerland County,10484.0,10241.0,64.0,16.0,188.0,114200.0,99.0,2992.0,423.0,550.0,421.0,131.0,16.0,17.0
837,Indiana,Tippecanoe County,183397.0,154153.0,8585.0,13923.0,14628.0,139500.0,728.0,22940.0,3834.0,7828.0,19941.0,10031.0,1590.0,3960.0
838,Indiana,Tipton County,15447.0,14895.0,26.0,0.0,383.0,110600.0,38.0,3712.0,589.0,900.0,1462.0,774.0,46.0,19.0
839,Indiana,Union County,7251.0,6973.0,12.0,40.0,1.0,106100.0,10.0,1926.0,295.0,316.0,576.0,250.0,40.0,57.0
840,Indiana,Vanderburgh County,181692.0,156287.0,16344.0,1923.0,4500.0,118100.0,885.0,35228.0,6153.0,10263.0,19679.0,8284.0,1474.0,1066.0
841,Indiana,Vermillion County,15752.0,15453.0,59.0,16.0,174.0,76200.0,31.0,4215.0,777.0,1173.0,1043.0,318.0,41.0,30.0
842,Indiana,Vigo County,108099.0,94538.0,6333.0,2058.0,2708.0,91900.0,549.0,18137.0,4683.0,5719.0,9840.0,4523.0,757.0,910.0
843,Indiana,Wabash County,32177.0,30763.0,269.0,38.0,779.0,96200.0,128.0,8354.0,875.0,1698.0,2433.0,1274.0,144.0,169.0
844,Indiana,Warren County,8309.0,8145.0,57.0,1.0,113.0,110700.0,46.0,2261.0,293.0,581.0,801.0,251.0,47.0,58.0
845,Indiana,Warrick County,61427.0,57989.0,941.0,1342.0,1052.0,153000.0,155.0,11781.0,1990.0,4109.0,7431.0,3066.0,800.0,420.0
846,Indiana,Washington County,27792.0,27299.0,13.0,45.0,355.0,104600.0,187.0,7324.0,1332.0,1642.0,1399.0,865.0,76.0,70.0
847,Indiana,Wayne County,67423.0,60513.0,3372.0,583.0,1869.0,94300.0,408.0,14888.0,3217.0,3859.0,4611.0,2511.0,387.0,408.0
848,Indiana,Wells County,27836.0,26968.0,201.0,193.0,721.0,118800.0,101.0,6729.0,836.0,2115.0,2219.0,804.0,168.0,68.0
849,Indiana,White County,24265.0,22663.0,112.0,61.0,1833.0,106600.0,113.0,6413.0,824.0,1693.0,1730.0,788.0,84.0,25.0
850,Indiana,Whitley County,33354.0,32300.0,130.0,122.0,615.0,129800.0,203.0,8209.0,1279.0,2044.0,2628.0,1258.0,240.0,68.0
